jgap(18),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1%=0.01,0.0555555559694767,0.0,0.0555555559694767,0.0555555559694767,0.0555555559694767,0.0,0.0,0.0555555559694767,0.0555555559694767,0.0,0.0,0.0
2%=0.02,0.0555555559694767,0.0,0.0555555559694767,0.1111111119389534,0.1111111119389534,0.0,0.0555555559694767,0.1111111119389534,0.1111111119389534,0.0555555559694767,0.0555555559694767,0.0555555559694767
3%=0.03,0.2222222238779068,0.0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.2222222238779068,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534
4%=0.04,0.3333333432674408,0.0,0.1666666716337204,0.2777777910232544,0.2777777910232544,0.2222222238779068,0.1111111119389534,0.1111111119389534,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
5%=0.05,0.3333333432674408,0.0,0.1666666716337204,0.2777777910232544,0.2777777910232544,0.2222222238779068,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.2222222238779068
6%=0.06,0.3333333432674408,0.0,0.1666666716337204,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.1666666716337204,0.2222222238779068,0.2222222238779068,0.2222222238779068
7%=0.07,0.4444444477558136,0.0,0.1666666716337204,0.2777777910232544,0.2777777910232544,0.3333333432674408,0.3333333432674408,0.2777777910232544,0.1666666716337204,0.2222222238779068,0.2222222238779068,0.2222222238779068
8%=0.08,0.5,0.0,0.2777777910232544,0.2777777910232544,0.2777777910232544,0.3888888955116272,0.3333333432674408,0.2777777910232544,0.2222222238779068,0.2222222238779068,0.3333333432674408,0.2777777910232544
9%=0.09,0.5,0.0,0.3333333432674408,0.2777777910232544,0.2777777910232544,0.3888888955116272,0.3333333432674408,0.3333333432674408,0.2222222238779068,0.2222222238779068,0.3333333432674408,0.3333333432674408
10%=0.1,0.5,0.0,0.5,0.3333333432674408,0.3333333432674408,0.5,0.3333333432674408,0.3333333432674408,0.2777777910232544,0.2777777910232544,0.3888888955116272,0.3888888955116272
11%=0.11,0.5555555820465088,0.0,0.5555555820465088,0.4444444477558136,0.4444444477558136,0.6111111044883728,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.2777777910232544,0.3888888955116272,0.3888888955116272
12%=0.12,0.6111111044883728,0.0,0.5555555820465088,0.4444444477558136,0.4444444477558136,0.6666666865348816,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.2777777910232544,0.3888888955116272,0.3888888955116272
13%=0.13,0.6666666865348816,0.0,0.6666666865348816,0.5,0.5,0.6666666865348816,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3888888955116272,0.3888888955116272
14%=0.14,0.7222222089767456,0.0,0.7222222089767456,0.6111111044883728,0.6111111044883728,0.8333333134651184,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3888888955116272,0.3888888955116272,0.3888888955116272
15%=0.15,0.8333333134651184,0.0,0.7777777910232544,0.6111111044883728,0.6111111044883728,0.8333333134651184,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.3888888955116272,0.3888888955116272,0.3888888955116272
