ant_main(10),h-index,a-index,k-core,ForwardPageRank-Sora,ForwardBackPageRank-Sora,g-core,MinClass,TSEPageRank,LiuPageRank,TSEPageRank_v15,iFit,TSPrideWithMotifCoreness
1% = 0.01,0.2,0.0,0.1,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.3
2% = 0.02,0.2,0.0,0.2,0.2,0.2,0.2,0.5,0.4,0.3,0.5,0.6,0.5
3% = 0.03,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.6,0.7,0.7
4% = 0.04,0.3,0.0,0.2,0.2,0.2,0.2,0.5,0.7,0.6,0.7,0.7,0.7
5% = 0.05,0.4,0.0,0.2,0.3,0.3,0.2,0.5,0.7,0.7,0.7,0.7,0.7
6% = 0.06,0.5,0.0,0.2,0.4,0.4,0.2,0.5,0.7,0.7,0.8,0.7,0.7
7% = 0.07,0.5,0.0,0.2,0.5,0.5,0.2,0.6,0.8,0.7,0.8,0.8,0.8
8% = 0.08,0.5,0.0,0.2,0.5,0.5,0.4,0.6,0.8,0.8,0.8,0.8,0.8
9% = 0.09,0.6,0.0,0.2,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.8
10% = 0.10,0.6,0.0,0.2,0.7,0.7,0.7,0.6,0.8,0.8,0.8,0.8,0.8
11% = 0.11,0.6,0.0,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9
12% = 0.12,0.7,0.0,0.6,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9
13% = 0.13,0.7,0.0,0.6,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.9
14% = 0.14,0.7,0.0,0.6,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.9,0.9
15% = 0.15,0.7,0.0,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.9,0.9
1% = 0.01,0.08333333333333333,0.0,0.25,0.4166666666666667,0.4166666666666667,0.0,0.3333333333333333,0.25,0.4166666666666667,0.3333333333333333,0.4166666666666667,0.5
2% = 0.02,0.3333333333333333,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.4166666666666667,0.5,0.5,0.6666666666666666,0.5833333333333334,0.5
3% = 0.03,0.5,0.0,0.25,0.5833333333333334,0.5833333333333334,0.0,0.6666666666666666,0.5833333333333334,0.75,0.75,0.75,0.6666666666666666
4% = 0.04,0.5,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,0.75,0.75,0.75,0.75,0.75,0.8333333333333334
5% = 0.05,0.5,0.0,0.5833333333333334,0.75,0.75,0.08333333333333333,0.75,0.75,0.75,0.75,0.75,0.9166666666666666
6% = 0.06,0.5,0.0,0.5833333333333334,0.8333333333333334,0.8333333333333334,0.25,0.75,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666
7% = 0.07,0.5,0.0,0.5833333333333334,0.9166666666666666,0.9166666666666666,0.25,0.75,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666
8% = 0.08,0.5,0.0,0.5833333333333334,0.9166666666666666,0.9166666666666666,0.4166666666666667,0.75,0.75,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
9% = 0.09,0.6666666666666666,0.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.5,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0
10% = 0.10,0.6666666666666666,0.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.5,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,1.0,1.0
11% = 0.11,0.6666666666666666,0.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,1.0,1.0
12% = 0.12,0.6666666666666666,0.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,1.0
13% = 0.13,0.6666666666666666,0.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,1.0
14% = 0.14,0.6666666666666666,0.0,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,1.0
15% = 0.15,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.6666666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0
1% = 0.01,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
2% = 0.02,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407
3% = 0.03,0.07407407407407407,0.037037037037037035,0.0,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.07407407407407407,0.07407407407407407
4% = 0.04,0.07407407407407407,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.14814814814814814,0.14814814814814814,0.14814814814814814
5% = 0.05,0.1111111111111111,0.037037037037037035,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.1111111111111111,0.18518518518518517,0.18518518518518517,0.18518518518518517
6% = 0.06,0.1111111111111111,0.037037037037037035,0.14814814814814814,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.18518518518518517,0.14814814814814814,0.2222222222222222,0.18518518518518517,0.2222222222222222
7% = 0.07,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.2222222222222222,0.2222222222222222,0.18518518518518517,0.2222222222222222,0.18518518518518517,0.18518518518518517,0.25925925925925924,0.25925925925925924,0.25925925925925924
8% = 0.08,0.25925925925925924,0.037037037037037035,0.18518518518518517,0.25925925925925924,0.25925925925925924,0.2222222222222222,0.25925925925925924,0.2222222222222222,0.2222222222222222,0.2962962962962963,0.2962962962962963,0.2962962962962963
