ant_main(10),PrideWithMotifPride,TSPrideWithMotifCoreness
1%=0.01,0.30000001192092896,0.4000000059604645
2%=0.02,0.5,0.6000000238418579
3%=0.03,0.5,0.699999988079071
4%=0.04,0.5,0.699999988079071
5%=0.05,0.699999988079071,0.699999988079071
6%=0.06,0.699999988079071,0.699999988079071
7%=0.07,0.800000011920929,0.800000011920929
8%=0.08,0.800000011920929,0.800000011920929
9%=0.09,0.800000011920929,0.800000011920929
10%=0.1,0.800000011920929,0.800000011920929
11%=0.11,0.800000011920929,0.8999999761581421
12%=0.12,0.800000011920929,0.8999999761581421
13%=0.13,0.800000011920929,0.8999999761581421
14%=0.14,0.800000011920929,0.8999999761581421
15%=0.15,0.800000011920929,0.8999999761581421
1%=0.01,0.4166666567325592,0.5
2%=0.02,0.5833333134651184,0.5
3%=0.03,0.75,0.6666666865348816
4%=0.04,0.75,0.8333333134651184
5%=0.05,0.75,0.9166666865348816
6%=0.06,0.75,0.9166666865348816
7%=0.07,0.75,0.9166666865348816
8%=0.08,0.75,0.9166666865348816
9%=0.09,0.8333333134651184,1.0
10%=0.1,0.8333333134651184,1.0
11%=0.11,0.8333333134651184,1.0
12%=0.12,0.8333333134651184,1.0
13%=0.13,0.8333333134651184,1.0
14%=0.14,0.9166666865348816,1.0
15%=0.15,0.9166666865348816,1.0
1%=0.01,0.03703703731298447,0.03703703731298447
2%=0.02,0.1111111119389534,0.07407407462596893
3%=0.03,0.1111111119389534,0.1111111119389534
4%=0.04,0.14814814925193787,0.14814814925193787
5%=0.05,0.2222222238779068,0.2222222238779068
6%=0.06,0.25925925374031067,0.25925925374031067
7%=0.07,0.29629629850387573,0.25925925374031067
8%=0.08,0.29629629850387573,0.29629629850387573
9%=0.09,0.3333333432674408,0.37037035822868347
10%=0.1,0.3333333432674408,0.40740740299224854
11%=0.11,0.37037035822868347,0.40740740299224854
12%=0.12,0.40740740299224854,0.40740740299224854
13%=0.13,0.4444444477558136,0.40740740299224854
14%=0.14,0.4444444477558136,0.40740740299224854
15%=0.15,0.4444444477558136,0.48148149251937866
1%=0.01,0.0,0.017543859779834747
2%=0.02,0.017543859779834747,0.035087719559669495
3%=0.03,0.035087719559669495,0.035087719559669495
4%=0.04,0.035087719559669495,0.035087719559669495
5%=0.05,0.035087719559669495,0.07017543911933899
6%=0.06,0.07017543911933899,0.08771929889917374
7%=0.07,0.08771929889917374,0.12280701845884323
8%=0.08,0.10526315867900848,0.15789473056793213
9%=0.09,0.14035087823867798,0.19298245012760162
10%=0.1,0.15789473056793213,0.21052631735801697
11%=0.11,0.21052631735801697,0.24561403691768646
12%=0.12,0.24561403691768646,0.28070175647735596
13%=0.13,0.28070175647735596,0.31578946113586426
14%=0.14,0.31578946113586426,0.35087719559669495
15%=0.15,0.35087719559669495,0.38596490025520325
1%=0.01,0.8571428656578064,0.7142857313156128
2%=0.02,0.8571428656578064,0.8571428656578064
3%=0.03,0.8571428656578064,0.8571428656578064
4%=0.04,0.8571428656578064,1.0
5%=0.05,1.0,1.0
