jgap(18),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.0,0.0,0.0
2%=0.02,0.0555555559694767,0.0555555559694767,0.0555555559694767
3%=0.03,0.1111111119389534,0.1111111119389534,0.1111111119389534
4%=0.04,0.1666666716337204,0.1111111119389534,0.1666666716337204
5%=0.05,0.1666666716337204,0.1666666716337204,0.1666666716337204
6%=0.06,0.1666666716337204,0.1666666716337204,0.1666666716337204
7%=0.07,0.1666666716337204,0.2777777910232544,0.2777777910232544
8%=0.08,0.2222222238779068,0.3333333432674408,0.3333333432674408
9%=0.09,0.2222222238779068,0.3333333432674408,0.3333333432674408
10%=0.1,0.2777777910232544,0.3333333432674408,0.3333333432674408
11%=0.11,0.3333333432674408,0.3888888955116272,0.3888888955116272
12%=0.12,0.3333333432674408,0.3888888955116272,0.3888888955116272
13%=0.13,0.3333333432674408,0.3888888955116272,0.3888888955116272
14%=0.14,0.3333333432674408,0.3888888955116272,0.3888888955116272
15%=0.15,0.3888888955116272,0.3888888955116272,0.3888888955116272
