javaclient(57),TSPageRank,PrideWithMotifCoreness,TSPrideWithMotifCoreness
1%=0.01,0.017543859779834747,0.0,0.017543859779834747
2%=0.02,0.035087719559669495,0.017543859779834747,0.035087719559669495
3%=0.03,0.035087719559669495,0.035087719559669495,0.035087719559669495
4%=0.04,0.035087719559669495,0.035087719559669495,0.035087719559669495
5%=0.05,0.07017543911933899,0.035087719559669495,0.07017543911933899
6%=0.06,0.07017543911933899,0.05263157933950424,0.08771929889917374
7%=0.07,0.10526315867900848,0.08771929889917374,0.10526315867900848
8%=0.08,0.12280701845884323,0.12280701845884323,0.12280701845884323
9%=0.09,0.14035087823867798,0.12280701845884323,0.14035087823867798
10%=0.1,0.17543859779834747,0.14035087823867798,0.17543859779834747
11%=0.11,0.22807016968727112,0.19298245012760162,0.22807016968727112
12%=0.12,0.2631579041481018,0.22807016968727112,0.22807016968727112
13%=0.13,0.28070175647735596,0.2631579041481018,0.2631579041481018
14%=0.14,0.31578946113586426,0.2982456088066101,0.2982456088066101
15%=0.15,0.35087719559669495,0.3333333432674408,0.3333333432674408
